Product_ID,Category,Price,Cost_Price,Competitor_Price,Discount,Marketing_Spend,Season,Holiday,Demand,Revenue,Profit
P100000,Electronics,4485.8,3172.05,4294.72,13.9,34465.82,Winter,0,115,515867.0,151081.25
P100001,Sports,1270.67,610.73,1173.15,16.8,37899.71,Monsoon,0,194,246509.98,128028.36
P100002,Beauty,1293.83,490.95,1290.78,39.4,15865.53,Monsoon,0,108,139733.64,86711.04
P100003,Home & Kitchen,3133.85,1558.49,3124.87,3.4,8516.78,Monsoon,1,125,391731.25,196920.0
P100004,Home & Kitchen,2163.26,1296.56,1895.63,4.5,11381.87,Monsoon,0,153,330978.78,132605.1
P100005,Groceries,282.44,187.59,243.69,17.4,19915.15,Winter,0,546,154212.24,51788.1
P100006,Electronics,4200.82,2765.86,3747.31,6.8,31777.83,Summer,0,120,504098.4,172195.2
P100007,Sports,946.95,427.61,980.42,27.4,9792.15,Summer,1,342,323856.9,177614.28
P100008,Fashion,1778.16,757.02,1776.07,14.4,39670.22,Spring,0,158,280949.28,161340.12
P100009,Electronics,4596.71,3196.48,4776.65,33.8,12819.23,Monsoon,0,109,501041.39,152625.07
P100010,Beauty,799.24,303.52,787.83,29.9,40573.49,Monsoon,0,241,192616.84,119468.52
P100011,Groceries,401.32,298.1,343.19,18.8,46239.75,Monsoon,0,592,237581.44,61106.24
P100012,Sports,1291.98,650.49,1415.71,33.8,8625.93,Summer,1,301,388885.98,193088.49
P100013,Sports,1270.07,632.39,1264.35,4.0,45927.69,Spring,1,268,340378.76,170898.24
P100014,Sports,2466.85,1162.83,2568.04,23.2,35415.78,Monsoon,0,127,313289.95,165610.54
P100015,Sports,2878.3,1328.81,2688.58,24.2,44415.91,Spring,1,133,382813.9,206082.17
P100016,Beauty,1323.42,503.9,1446.16,9.8,17667.21,Monsoon,0,90,119107.8,73756.8
P100017,Electronics,4843.26,2946.42,4678.48,2.0,43251.22,Monsoon,1,137,663526.62,259867.08
P100018,Groceries,209.61,140.32,190.12,21.4,24100.68,Winter,0,723,151548.03,50096.67
P100019,Home & Kitchen,3126.39,1570.63,3129.14,20.5,9888.44,Monsoon,0,108,337650.12,168022.08
P100020,Beauty,804.54,296.57,697.0,26.1,49830.8,Winter,1,336,270325.44,170677.92
P100021,Home & Kitchen,1433.21,743.82,1460.63,8.5,47429.81,Monsoon,1,368,527421.28,253695.52
P100022,Fashion,936.97,414.44,849.15,7.2,6678.45,Monsoon,1,286,267973.42,149443.58
P100023,Groceries,474.79,317.89,488.37,39.1,23081.69,Monsoon,0,502,238344.58,78763.8
P100024,Sports,558.79,287.66,544.72,4.5,49316.7,Summer,1,424,236926.96,114959.12
P100025,Beauty,347.68,113.87,296.45,40.0,27648.31,Winter,0,477,165843.36,111527.37
P100026,Home & Kitchen,1376.16,775.97,1283.47,28.8,25105.87,Monsoon,0,298,410095.68,178856.62
P100027,Sports,781.01,388.65,764.62,25.2,10170.25,Monsoon,0,228,178070.28,89458.08
P100028,Beauty,453.78,165.74,400.06,13.6,21266.36,Summer,0,317,143848.26,91308.68
P100029,Home & Kitchen,3155.76,1783.76,2847.07,34.7,25160.61,Monsoon,0,131,413404.56,179732.0
P100030,Home & Kitchen,1752.39,885.91,1724.21,36.4,35845.49,Spring,1,444,778061.16,384717.12
P100031,Fashion,1082.21,500.43,1219.31,28.9,22776.68,Monsoon,0,281,304101.01,163480.18
P100032,Electronics,3692.53,2312.83,3469.25,28.4,31931.94,Winter,0,174,642500.22,240067.8
P100033,Beauty,598.7,202.65,517.2,19.7,5525.06,Spring,0,210,125727.0,83170.5
P100034,Groceries,452.79,335.55,389.01,3.1,38307.36,Summer,1,735,332800.65,86171.4
P100035,Electronics,4235.49,2897.9,4368.16,40.0,662.14,Monsoon,0,117,495552.33,156498.03
P100036,Groceries,218.23,149.33,204.51,0.6,32286.68,Spring,1,829,180912.67,57118.1
P100037,Sports,2538.31,1317.54,2589.04,19.8,41402.53,Summer,0,128,324903.68,156258.56
P100038,Fashion,748.42,304.68,674.21,14.7,38456.25,Monsoon,0,346,258953.32,153534.04
P100039,Beauty,609.58,210.16,688.4,31.0,7792.21,Winter,1,421,256633.18,168155.82
P100040,Electronics,3470.4,2192.05,3702.23,29.4,42290.25,Spring,0,236,819014.4,301690.6
P100041,Sports,2350.3,1099.9,2398.58,25.1,4420.19,Winter,1,153,359595.9,191311.2
P100042,Sports,1970.54,899.25,1933.49,3.0,3784.68,Monsoon,0,96,189171.84,102843.84
P100043,Home & Kitchen,3482.58,1932.85,3969.15,9.5,41219.03,Summer,0,143,498008.94,221611.39
P100044,Electronics,4357.44,2600.05,4998.9,3.8,9534.76,Winter,0,98,427029.12,172224.22
P100045,Groceries,114.22,80.23,129.16,39.2,22629.42,Summer,1,1591,181724.02,54078.09
P100046,Home & Kitchen,3306.21,1803.35,3760.23,5.1,46863.34,Spring,0,150,495931.5,225429.0
P100047,Groceries,398.73,280.11,407.36,38.7,10843.7,Winter,0,593,236446.89,70341.66
P100048,Sports,1093.64,510.51,940.01,4.5,39138.9,Summer,0,236,258099.04,137618.68
P100049,Sports,900.78,468.85,905.65,34.5,29429.77,Winter,1,419,377426.82,180978.67
P100050,Sports,2846.12,1281.65,2793.14,23.0,20581.94,Winter,1,123,350072.76,192429.81
P100051,Fashion,1663.2,806.7,1669.47,33.3,23231.92,Winter,1,241,400831.2,206416.5
P100052,Home & Kitchen,2110.18,1096.47,2040.66,25.4,20810.37,Monsoon,0,213,449468.34,215920.23
P100053,Home & Kitchen,2853.23,1665.11,3106.37,30.8,41451.5,Spring,0,193,550673.39,229307.16
P100054,Home & Kitchen,2899.17,1743.04,3139.45,29.2,40792.28,Monsoon,1,279,808868.43,322560.27
P100055,Electronics,3610.17,2420.36,4027.24,10.4,18984.28,Spring,1,212,765356.04,252239.72
P100056,Beauty,1148.7,398.94,1017.21,37.4,35013.81,Monsoon,1,192,220550.4,143953.92
P100057,Electronics,4208.94,2522.45,3597.14,25.7,26827.42,Summer,1,184,774444.96,310314.16
P100058,Sports,971.07,500.73,1019.13,8.1,37536.82,Spring,1,322,312684.54,151449.48
